week,run,label,family,n_features,train_brier,val_brier,val_accuracy,val_auc,overfit_gap,status,iteration,delta_brier
3,1,LR pre-match baseline,LR,8,,0.205534,0.699153,0.743612,,keep,0,
3,2,LR first-set only,LR,26,,0.1838,0.745763,0.7864,,keep,0,-0.021734000000000003
3,3,LR combined all features,LR,34,,0.1694,0.754237,0.8271,,keep,0,-0.014399999999999996
3,4,LR combined C=0.1,LR,34,,0.169,0.754237,0.8276,,keep,0,-0.0003999999999999837
3,5,RF n=100 all features,RF,34,,0.1681,0.758475,0.8288,,keep,0,-0.0009000000000000119
4,6,RF n=200 all features,RF,34,,0.167367,0.775424,0.829257,,keep,0,-0.0007330000000000114
4,7,RF n=100 depth=10 all features,RF,34,0.054327,0.164842,0.766949,0.833911,0.110515,keep,0,-0.0025249999999999995
4,8,RF depth=5 all features,RF,34,,0.17159,0.766949,0.820924,,discard,0,0.006748000000000004
4,9,RF min_leaf=5 all features,RF,34,,0.166207,0.766949,0.831025,,discard,0,-0.005382999999999999
4,10,RF pre-match features only,RF,8,,0.216062,0.673729,0.728319,,discard,0,0.04985500000000001
4,11,GBM n=100 lr=0.05 all features,GBM,34,,0.174657,0.728814,0.822511,,discard,0,-0.041405
5,12,RF n=100 depth=10 top-15 features (feature selection),RF_FS,15,0.059603,0.167823,0.762712,0.828571,0.108221,discard,1,-0.006834000000000007
5,13,RF n=100 depth=10 top-10 features (aggressive selection),RF_FS,10,0.058323,0.17159,0.75,0.82316,0.113268,discard,1,0.0037669999999999926
5,14,GBM n=200 lr=0.05 depth=3 all features,GBM,34,0.102321,0.175321,0.733051,0.823016,0.072999,discard,1,0.003731000000000012
5,15,GBM n=200 lr=0.05 depth=3 top-15 features,GBM,15,0.107026,0.175675,0.741525,0.823665,0.068649,discard,1,0.0003539999999999932
5,16,GBM n=500 lr=0.01 depth=2 all features (slow/shallow),GBM_Slow,34,0.128664,0.174788,0.733051,0.818398,0.046124,discard,2,-0.0008869999999999989
5,17,LR C=0.01 all features (heavy L2),LR,34,0.135922,0.167972,0.762712,0.827417,0.03205,discard,2,-0.006815999999999989
5,18,ExtraTrees n=100 depth=10 all features,ExtraT,34,0.097641,0.172337,0.762712,0.821717,0.074695,discard,2,0.00436499999999998
5,19,RF depth=10 CalibratedClassifierCV (isotonic),RF_Cal,34,0.064498,0.168999,0.762712,0.829798,0.104501,discard,2,-0.00333799999999998
5,20,Surface-stratified RF n=100 depth=10 all features,RF_Surf,34,0.0345,0.1695,0.762712,0.826,0.135,discard,3,0.0005010000000000014
5,21,LR C=1.0 all features combined (standard),LR,34,0.1333,0.1718,0.758475,0.826,0.0385,discard,3,0.0022999999999999965
5,22,LR C=0.05 all features (heavy L2),LR,34,0.1337,0.1697,0.762712,0.827,0.036,discard,3,-0.0021000000000000185
5,23,GBM n=100 lr=0.05 depth=2 all features (shallow),GBM,34,0.1285,0.1756,0.733051,0.819,0.0471,discard,3,0.005900000000000016
